"LabID","Pol","Brix","Ash","Fibre"
41034,80.883,21.244,NA,NA
41035,53.75,15.672,NA,NA
41036,81.632,21.829,NA,NA
41037,87.397,22.308,NA,NA
41038,78.53,20.594,NA,NA
41039,91.059,23.417,NA,NA
41041,81.238,20.911,NA,NA
41042,66.13,18.38,NA,NA
41043,79.028,20.7,NA,NA
41044,86.187,22.521,NA,NA
41045,83.065,21.546,NA,NA
41046,85.475,22.983,NA,NA
41047,83.862,22.604,NA,NA
41048,75.012,19.803,NA,NA
41049,73.12,19.892,NA,NA
41050,80.762,21.552,NA,NA
41051,74.221,20.145,NA,NA
41052,81.265,22.081,NA,NA
41053,76.363,21.25,NA,NA
41054,88.593,22.934,NA,NA
41055,67.674,18.199,NA,NA
41056,81.072,21.312,NA,NA
41057,81.816,21.949,NA,NA
41058,70.708,19.418,NA,NA
41059,74.635,19.779,NA,NA
41060,71.408,19.322,NA,NA
41061,90.453,22.715,NA,NA
41062,77.481,20.267,NA,NA
41063,75.445,19.828,NA,NA
41064,78.555,20.627,NA,NA
41065,81.475,21.369,NA,NA
41066,75.612,19.862,NA,NA
41067,78.468,20.442,NA,NA
41068,74.591,20.936,NA,NA
41069,90.148,23.499,NA,NA
41070,68.69,18.896,NA,NA
41071,87.551,22.997,NA,NA
41072,98.806,25.029,NA,NA
41073,71.965,19.006,NA,NA
41074,67.491,17.967,NA,NA
41075,69.719,19.144,NA,NA
41076,76.173,20.04,NA,NA
41077,62.267,17.358,NA,NA
41078,82.52,22.117,NA,NA
41079,82.109,22.063,NA,NA
41080,68.641,18.782,NA,NA
41081,89.97,23.4,NA,NA
41082,77.455,20.698,NA,NA
