ScanID, DateTime, NIR_Pol, NIR_Brix, NIR_Fibre, NIR_Ash, GH, NH
15804.19,2023-02-21 20:13:00,85.0432,22.3045,14.1673,1.1488,0.78648,0.053857
15804.20,2023-02-21 20:13:36,84.8011,21.7817,14.1896,1.6167,0.51423,0.088713
15805.01,2023-02-21 20:15:22,83.6849,22.0585,13.9168,1.5483,0.51843,0.28245
15805.02,2023-02-21 20:15:59,85.147,22.1711,14.5101,1.5655,0.52028,0.10591
15805.03,2023-02-21 20:16:35,85.2626,21.9773,14.5579,1.6278,0.3346,0.21553
15805.04,2023-02-21 20:17:12,87.1848,22.4435,13.9112,1.6417,-0.061138,0.30827
15805.05,2023-02-21 20:17:48,86.2974,22.1361,13.6387,1.1311,0.76497,0.20967
15805.06,2023-02-21 20:18:26,90.9957,23.3477,13.691,1.308,0.49342,0.19068
15805.07,2023-02-21 20:19:02,86.0784,22.4402,13.8595,1.7813,0.55482,0.079219
15805.08,2023-02-21 20:19:40,88.3965,22.9031,13.7863,1.4045,0.36264,0.13786
15805.09,2023-02-21 20:20:16,83.8961,21.5871,14.115,1.5524,0.082687,0.29088
15805.10,2023-02-21 20:20:53,84.7962,21.8677,14.2961,1.5738,0.34933,0.13479
15805.11,2023-02-21 20:21:29,88.2686,22.466,13.615,1.3596,0.58103,0.080068
15805.12,2023-02-21 20:22:06,85.9876,22.7629,14.2063,1.3807,0.60455,0.010146
15806.01,2023-02-21 20:24:03,78.0613,20.6577,13.9781,1.6122,0.18943,0.25994
15806.02,2023-02-21 20:24:40,84.2897,21.6372,14.2835,1.75,0.50662,0.22912
15806.03,2023-02-21 20:25:16,81.6066,21.352,14.0653,1.8767,1.4457,0.26054
15806.04,2023-02-21 20:25:53,77.6608,20.3991,13.6527,1.9488,0.24946,0.26311
15806.05,2023-02-21 20:26:29,82.2073,21.4774,13.4242,1.9414,0.31522,0.14257
15806.06,2023-02-21 20:27:06,83.7488,21.6956,14.2169,2.0771,0.55547,0.15163
15806.07,2023-02-21 20:27:43,81.4495,21.3708,13.1897,1.4775,1.581,0.036495
15806.08,2023-02-21 20:28:20,77.1837,20.641,14.2007,1.8218,0.36788,0.1845
15806.09,2023-02-21 20:28:56,84.8567,22.1687,13.9854,1.6295,0.33803,0.28544
15806.10,2023-02-21 20:29:33,82.4033,21.441,13.7029,1.944,0.53531,0.17734
15806.11,2023-02-21 20:30:11,75.6207,20.1653,13.7188,1.3055,0.53989,0.21582
15806.12,2023-02-21 20:30:47,82.2647,21.4527,14.4363,1.7199,0.67753,0.27101
15806.13,2023-02-21 20:31:24,85.5296,22.4235,13.5625,1.4886,0.33017,0.23927
15806.15,2023-02-21 20:32:30,81.0163,20.8249,13.4124,2.0787,0.2097,0.1987
15806.16,2023-02-21 20:33:07,83.4128,21.7208,14.2508,2.09,1.0043,0.12614
15806.17,2023-02-21 20:33:44,80.4734,21.3182,14.5803,1.945,0.24588,0.051939
15806.18,2023-02-21 20:34:21,79.8002,21.0636,12.8448,2.0009,0.47992,0.021445
15806.19,2023-02-21 20:34:57,81.0075,21.1933,14.0361,1.8013,0.54341,0.31974
15806.20,2023-02-21 20:35:35,82.663,21.6184,14.1587,1.6826,0.032819,0.13447
15806.21,2023-02-21 20:36:12,76.2116,20.3899,14.5133,1.7979,0.4433,0.18242
15806.22,2023-02-21 20:36:49,77.5352,20.9926,14.1845,1.6765,-0.032558,0.2853
15807.01,2023-02-21 20:38:37,84.1851,21.8634,14.6466,1.8672,0.18299,0.15784
15807.02,2023-02-21 20:39:15,84.9373,22.3227,14.6937,1.9702,0.75901,0.13522
15807.03,2023-02-21 20:39:52,86.9311,22.2707,14.1125,1.9117,0.059117,0.13752
15807.04,2023-02-21 20:40:28,84.6887,22.1887,14.2468,1.9894,0.31959,0.068255
15807.05,2023-02-21 20:41:06,90.5425,23.413,14.1665,1.5557,0.050849,0.12866
15807.06,2023-02-21 20:41:43,86.0625,22.4923,13.8168,1.4895,0.53788,0.09219
15807.07,2023-02-21 20:42:20,87.6723,22.345,14.0688,1.4306,1.2204,0.31607
15807.08,2023-02-21 20:42:56,85.5578,22.3036,14.3537,1.5344,0.036045,0.044627
15808.01,2023-02-21 20:45:10,79.6509,21.1735,16.5241,3.096,0.47677,0.17644
15808.02,2023-02-21 20:45:48,79.9246,20.9806,15.9881,2.9749,0.23239,0.11701
15808.03,2023-02-21 20:46:24,80.7216,21.5911,15.8931,2.6255,0.81759,0.17773
15808.04,2023-02-21 20:47:01,78.8015,20.7853,16.4835,2.6426,0.60918,0.078253
15808.05,2023-02-21 20:47:38,79.0808,21.2936,16.5621,2.9956,0.034931,0.14486
15808.06,2023-02-21 20:48:16,76.4326,20.1905,16.1909,2.885,0.15184,0.26272
15808.07,2023-02-21 20:48:52,79.9099,21.0669,15.4656,2.6267,0.33717,0.17913
15808.08,2023-02-21 20:49:29,78.8168,20.748,15.2138,2.5321,0.36525,0.19368
15808.09,2023-02-21 20:50:06,74.6751,20.3461,16.2578,2.7245,0.46346,0.25304
15808.10,2023-02-21 20:50:39,77.498,20.5077,15.4779,2.8396,0.60991,0.14952
15808.11,2023-02-21 20:51:17,73.5963,19.5942,15.7067,2.8531,0.37604,0.24639
